"GENDER","GENERATION","ARTIST","SONG_NAME","ALBUM_NAME","ALBUM_IMG","YOUTUBE"
"여성",30,"주주 시크릿","밤이 무서워요 (Lonely Night)","밤이 무서워요 (Lonely Night)","https://musicmeta-phinf.pstatic.net/album/009/329/9329937.jpg?type=r480","https://www.youtube.com/watch?v=l8xsaUjjGrM"
"여성",30,"비투비","나의 바람 (Wind And Wish)","WIND AND WISH","https://musicmeta-phinf.pstatic.net/album/009/619/9619956.jpg?type=r480","https://www.youtube.com/watch?v=zXOoza3sxiw"
"여성",30,"방탄소년단","The Planet","The Planet","https://musicmeta-phinf.pstatic.net/album/009/650/9650417.jpg?type=r480","https://www.youtube.com/watch?v=zILwINVHWXE"
"여성",40,"IVE(아이브)","I AM","I've IVE","https://musicmeta-phinf.pstatic.net/album/009/334/9334427.jpg?type=r480","https://www.youtube.com/watch?v=6ZUIwj3FgUY"
"여성",40,"방탄소년단","The Planet","The Planet","https://musicmeta-phinf.pstatic.net/album/009/650/9650417.jpg?type=r480","https://www.youtube.com/watch?v=zILwINVHWXE"
"여성",40,"김동률","황금가면","황금가면","https://musicmeta-phinf.pstatic.net/album/009/642/9642461.jpg?type=r480","https://www.youtube.com/watch?v=eKZf0nDPkok"
"여성",40,"이무진","잠깐 시간 될까","잠깐 시간 될까","https://musicmeta-phinf.pstatic.net/album/009/636/9636543.jpg?type=r480","https://www.youtube.com/watch?v=aShjZO9sue0"
"여성",50,"이찬원","사나이 청춘","ONE","https://musicmeta-phinf.pstatic.net/album/638a3a0c/3f5f/44eb/bbd3/381c293b76d8/9045237.jpg?type=r480","https://www.youtube.com/watch?v=cp3gXSWTR0A"
"여성",50,"이승윤","꿈의 거처","꿈의 거처","https://musicmeta-phinf.pstatic.net/album/49adbf77/31c3/4418/bf4a/e6f84cc63b04/8754516.jpg?type=r480","https://www.youtube.com/watch?v=yDg3Lth8uQ8"
"여성",50,"이찬원","오.내.언.사","ONE","https://musicmeta-phinf.pstatic.net/album/638a3a0c/3f5f/44eb/bbd3/381c293b76d8/9045237.jpg?type=r480","https://www.youtube.com/watch?v=nuHJPZuzuCE"
"여성",50,"김호중","인생은 뷰티풀","인생은 뷰티풀: 비타돌체","https://musicmeta-phinf.pstatic.net/album/008/003/8003729.jpg?type=r480","https://www.youtube.com/watch?v=P24AvrKJWAY"
"여성",50,"임영웅","사랑은 늘 도망가","신사와 아가씨 OST Part 2","https://musicmeta-phinf.pstatic.net/album/006/465/6465843.jpg?type=r480","https://www.youtube.com/watch?v=LKQ-18LoFQk"
